Time	Node	Type	Packets	
189	5	CacheHits	0
189	5	CacheMisses	2546
190	5	CacheHits	0
190	5	CacheMisses	2546
191	5	CacheHits	0
191	5	CacheMisses	2545
192	5	CacheHits	0
192	5	CacheMisses	2546
193	5	CacheHits	0
193	5	CacheMisses	2546
194	5	CacheHits	0
194	5	CacheMisses	2546
195	5	CacheHits	0
195	5	CacheMisses	2546
196	5	CacheHits	0
196	5	CacheMisses	2546
197	5	CacheHits	0
197	5	CacheMisses	2545
198	5	CacheHits	0
198	5	CacheMisses	2545
199	5	CacheHits	0
199	5	CacheMisses	2542
200	5	CacheHits	0
200	5	CacheMisses	2543
201	5	CacheHits	0
201	5	CacheMisses	2543
202	5	CacheHits	0
202	5	CacheMisses	2543
203	5	CacheHits	0
203	5	CacheMisses	2543
204	5	CacheHits	0
204	5	CacheMisses	2543
205	5	CacheHits	0
205	5	CacheMisses	2543
206	5	CacheHits	0
206	5	CacheMisses	2543
207	5	CacheHits	0
207	5	CacheMisses	2543
208	5	CacheHits	0
208	5	CacheMisses	2543
209	5	CacheHits	0
209	5	CacheMisses	2543
210	5	CacheHits	0
210	5	CacheMisses	2543
211	5	CacheHits	0
211	5	CacheMisses	2543
212	5	CacheHits	0
212	5	CacheMisses	2543
213	5	CacheHits	0
213	5	CacheMisses	2543
214	5	CacheHits	0
214	5	CacheMisses	2543
215	5	CacheHits	0
215	5	CacheMisses	2543
216	5	CacheHits	0
216	5	CacheMisses	2542
217	5	CacheHits	0
217	5	CacheMisses	2670
218	5	CacheHits	0
218	5	CacheMisses	2544
219	5	CacheHits	0
219	5	CacheMisses	2544
220	5	CacheHits	0
220	5	CacheMisses	2544
221	5	CacheHits	0
221	5	CacheMisses	2544
222	5	CacheHits	0
222	5	CacheMisses	2544
223	5	CacheHits	0
223	5	CacheMisses	2543
224	5	CacheHits	0
224	5	CacheMisses	2544
225	5	CacheHits	0
225	5	CacheMisses	2544
226	5	CacheHits	0
226	5	CacheMisses	2544
227	5	CacheHits	0
227	5	CacheMisses	2544
228	5	CacheHits	0
228	5	CacheMisses	2543
229	5	CacheHits	0
229	5	CacheMisses	2544
230	5	CacheHits	0
230	5	CacheMisses	2544
231	5	CacheHits	0
231	5	CacheMisses	2544
232	5	CacheHits	0
232	5	CacheMisses	2544
233	5	CacheHits	0
233	5	CacheMisses	2543
234	5	CacheHits	0
234	5	CacheMisses	2544
235	5	CacheHits	0
235	5	CacheMisses	2544
236	5	CacheHits	1433
236	5	CacheMisses	2396
237	5	CacheHits	2551
237	5	CacheMisses	2270
238	5	CacheHits	2551
238	5	CacheMisses	2281
239	5	CacheHits	2548
239	5	CacheMisses	2270
240	5	CacheHits	2033
240	5	CacheMisses	2467
241	5	CacheHits	1517
241	5	CacheMisses	2546
242	5	CacheHits	1517
242	5	CacheMisses	2545
243	5	CacheHits	1518
243	5	CacheMisses	2546
244	5	CacheHits	1518
244	5	CacheMisses	2546
245	5	CacheHits	1517
245	5	CacheMisses	2546
246	5	CacheHits	1518
246	5	CacheMisses	2546
247	5	CacheHits	1517
247	5	CacheMisses	2546
248	5	CacheHits	1518
248	5	CacheMisses	2545
249	5	CacheHits	1517
249	5	CacheMisses	2546
250	5	CacheHits	1518
250	5	CacheMisses	2546
251	5	CacheHits	1517
251	5	CacheMisses	2546
252	5	CacheHits	1517
252	5	CacheMisses	2546
253	5	CacheHits	1518
253	5	CacheMisses	2546
254	5	CacheHits	1517
254	5	CacheMisses	2545
255	5	CacheHits	1517
255	5	CacheMisses	2546
256	5	CacheHits	1517
256	5	CacheMisses	2546
257	5	CacheHits	1516
257	5	CacheMisses	2546
258	5	CacheHits	1518
258	5	CacheMisses	2546
259	5	CacheHits	1517
259	5	CacheMisses	2545
260	5	CacheHits	1517
260	5	CacheMisses	2546
261	5	CacheHits	1518
261	5	CacheMisses	2546
262	5	CacheHits	1518
262	5	CacheMisses	2546
263	5	CacheHits	1517
263	5	CacheMisses	2546
264	5	CacheHits	1518
264	5	CacheMisses	2546
265	5	CacheHits	1517
265	5	CacheMisses	2545
266	5	CacheHits	1518
266	5	CacheMisses	2546
267	5	CacheHits	1518
267	5	CacheMisses	2546
268	5	CacheHits	1517
268	5	CacheMisses	2546
269	5	CacheHits	1517
269	5	CacheMisses	2546
270	5	CacheHits	1517
270	5	CacheMisses	2546
271	5	CacheHits	1518
271	5	CacheMisses	2545
272	5	CacheHits	1517
